geometry_wkt,cluster_id,price_m2,road_name
"LINESTRING (101.6933542 3.1051029, 101.6941147 3.1055711)",13_kl,7286.43216080402,JALAN DESA BAKTI
"LINESTRING (101.7050581 3.0681211, 101.7056928 3.068528)",0_kl,4146.341463414634,JALAN 1C/149
"LINESTRING (101.7044848 3.1048699, 101.7041612 3.1052598, 101.7039656 3.1055233, 101.7038238 3.1057066, 101.7032781 3.1064168, 101.7027058 3.1071122, 101.7026802 3.1071093, 101.7026443 3.1071052, 101.7024833 3.1069232)",9_kl,4000.0,JALAN RAZAK MANSION
"LINESTRING (101.6906823 3.1976282, 101.6906003 3.198241, 101.6905648 3.1984353)",1_kl,5353.535353535353,JALAN SENTUL PASAR
"LINESTRING (101.6531155 3.1696846, 101.6532754 3.1696835, 101.6539702 3.1696818, 101.654033 3.1696821, 101.6545486 3.1696885, 101.65504 3.1697068)",2_kl,8595.139300533492,JALAN KIARA 1
"LINESTRING (101.7067267 3.1483523, 101.7066441 3.1485579, 101.706534 3.1486509, 101.7064882 3.148756, 101.7064143 3.1488871, 101.7063812 3.1489458, 101.7062096 3.1491793, 101.706043 3.1493413)",1_kl,4838.709677419355,CHANGKAT RAJA CHULAN
"LINESTRING (101.7128198 3.1958983, 101.712785 3.1959326, 101.7127393 3.1959776, 101.7126438 3.1960737, 101.7126192 3.1960984, 101.71247 3.1962485, 101.7120505 3.1966705, 101.7118555 3.1969117, 101.7115936 3.1970493, 101.7113709 3.1971663, 101.7108883 3.1973604, 101.7108212 3.1973876, 101.710267 3.197577, 101.7094548 3.1978884, 101.7093909 3.1978895)",3_kl,5407.407407407408,JALAN PRIMA SETAPAK 7
"LINESTRING (101.7022198 3.206332, 101.7023671 3.2061686, 101.7026412 3.2058645, 101.7028256 3.2056599, 101.7032328 3.2052081, 101.7033893 3.2051733, 101.7035721 3.2051715, 101.7036497 3.2051955)",3_kl,4109.58904109589,JALAN 1/21C
"LINESTRING (101.7480863 3.1972972, 101.7476446 3.1978155)",6_kl,3883.4951456310678,JALAN 12/27A
"LINESTRING (101.7061134 3.0832252, 101.7062319 3.0833244, 101.7065123 3.0835768, 101.706626 3.0836687, 101.706746 3.0837384, 101.7068736 3.0837904, 101.707008 3.0838304, 101.7071388 3.083857, 101.707275 3.0838716, 101.7079064 3.0838928, 101.7079408 3.0838939, 101.7081529 3.0838613, 101.7083112 3.0838356, 101.7085394 3.0837914, 101.7087119 3.0837599, 101.7088426 3.083745, 101.708978 3.0837348, 101.709309 3.0837137, 101.7098628 3.0836783, 101.7099502 3.0836743, 101.7112442 3.0836164, 101.7119203 3.0836008, 101.7126638 3.0836049)",9_kl,3797.46835443038,JALAN 2/125
"LINESTRING (101.7264642 3.1543994, 101.7264915 3.1549664, 101.726532 3.1556437, 101.7265634 3.155861, 101.7265852 3.1561599, 101.7266028 3.1565088, 101.7266095 3.1569999, 101.726615 3.1573967, 101.7266392 3.1574408, 101.7266835 3.1574715, 101.7268281 3.1574889, 101.7269182 3.1574957, 101.7269932 3.1575056, 101.7271006 3.1575198, 101.7273151 3.1575895, 101.7278113 3.1577716, 101.727893 3.1577899, 101.7280069 3.1578155, 101.7281348 3.1578265, 101.728325 3.1578428, 101.7284197 3.1578509, 101.7285784 3.1578597, 101.7287179 3.1578611, 101.7290476 3.1578652, 101.7295684 3.1578586)",1_kl,11393.822393822395,JALAN MADGE
"LINESTRING (101.666647 3.0604064, 101.6666473 3.0608854, 101.6666475 3.0611496)",4_kl,4037.685060565276,JALAN 2/155A
"LINESTRING (101.7171262 3.1499633, 101.7171379 3.1502078, 101.7171525 3.1504624, 101.7171554 3.1505171, 101.7171625 3.150602, 101.7171733 3.1506916, 101.7172819 3.1510873, 101.7173182 3.1512085, 101.7173634 3.1513097, 101.7173981 3.1513713, 101.7177611 3.152074, 101.7177995 3.1521472, 101.7178392 3.1522226)",1_kl,8228.070175438597,JALAN STONOR
"LINESTRING (101.7161555 3.1624308, 101.7165055 3.1624075, 101.7164575 3.1618035, 101.7163982 3.1617545, 101.7162947 3.1617669, 101.7161829 3.1617802, 101.7161469 3.1617845, 101.7161176 3.1617881, 101.7161555 3.1624308)",1_kl,7227.272727272727,PERSIANRAN HAMPSHIRE
"LINESTRING (101.6532002 3.1733941, 101.6532091 3.1733226, 101.6532265 3.1731955, 101.6532767 3.1727969, 101.6532871 3.1727266, 101.6533097 3.1725737, 101.6533225 3.1724857, 101.6533455 3.1723176)",2_kl,8781.362007168458,JALAN KIARA
"LINESTRING (101.6883682 3.0785936, 101.6883377 3.0788772, 101.6883096 3.0794148, 101.6882856 3.0801188, 101.6882848 3.0801686, 101.6882751 3.0804906, 101.6882656 3.0807573, 101.688238 3.0815378)",5_kl,4850.746268656716,JALAN RIANGRIA
"LINESTRING (101.6996908 3.1537175, 101.699809 3.1538828, 101.6998785 3.1539994, 101.6999282 3.1539688, 101.6999802 3.1540593, 101.6999993 3.154093, 101.6999594 3.1541156, 101.7000762 3.1543212, 101.7001161 3.1542986, 101.7001355 3.154333, 101.7001905 3.1544332, 101.7002536 3.1543982, 101.7003776 3.1543291, 101.7003247 3.1542345, 101.7003074 3.1542445, 101.7003012 3.154248, 101.7002796 3.1542089, 101.7001614 3.1540013, 101.7001393 3.1539625, 101.7001455 3.153959, 101.7001631 3.1539495, 101.7001098 3.1538551, 101.7001392 3.1538385, 101.7000665 3.1537035, 101.6999142 3.1534817, 101.6996908 3.1537175)",1_kl,6017.191977077364,PERSIARAN CAPSQUARE
"LINESTRING (101.6933013 3.1339883, 101.6931381 3.1338409, 101.6930647 3.1337752, 101.6930463 3.1337598, 101.6929741 3.1336954, 101.6929653 3.1336884, 101.6927757 3.133518, 101.6925236 3.1332904, 101.6923371 3.1331129, 101.692295 3.133078, 101.6922259 3.1330192, 101.6921776 3.132987, 101.6921027 3.1329385, 101.6918148 3.1327596, 101.6917028 3.1326844, 101.6916418 3.1326449, 101.6915754 3.132598, 101.6914849 3.1325257, 101.6914359 3.1324829, 101.6913736 3.1324226, 101.6913199 3.1323571, 101.6912625 3.1322784, 101.6912217 3.1322132, 101.6911574 3.1320965, 101.6911081 3.1319877)",1_kl,5037.783375314862,JALAN TEBING
"LINESTRING (101.6910338 3.0648559, 101.6910333 3.0650427, 101.6910252 3.0656502, 101.6910316 3.0659387, 101.6910328 3.0660467, 101.6910387 3.0662589, 101.6910392 3.066642)",-1_kl,4727.272727272727,JALAN RADIN 5
"LINESTRING (101.6858548 3.0952832, 101.6847326 3.0952306, 101.6843189 3.0952054, 101.6842801 3.0952165, 101.6841571 3.0953014, 101.68413 3.0953501, 101.6841261 3.0956603)",5_kl,3417.721518987342,JALAN 3/109C
"LINESTRING (101.6759374 3.0983073, 101.6759956 3.0986794, 101.676077 3.0991224, 101.6761176 3.0993436, 101.6762806 3.1001149, 101.6762993 3.1001884, 101.6763406 3.1003503, 101.6764039 3.1005108, 101.6765046 3.1007141, 101.6767878 3.1013058, 101.6769803 3.1017002, 101.6770365 3.1017992, 101.677075 3.1018778, 101.6772095 3.1021529, 101.6772337 3.1022024, 101.6773459 3.1024571, 101.6774456 3.1026862, 101.6775753 3.1029922, 101.6776751 3.1032817, 101.6777354 3.1035053, 101.677775 3.1036522, 101.6777941 3.1037268)",5_kl,3194.4444444444443,OLD KLANG RD
"LINESTRING (101.6582498 3.1537741, 101.6583096 3.1534987, 101.6583691 3.1532055, 101.6584449 3.1529404, 101.6585469 3.1526916, 101.658887 3.1519168, 101.6590553 3.1516258, 101.6591528 3.1515173, 101.6592581 3.1514123, 101.6594178 3.151292, 101.6596028 3.1511929, 101.6598603 3.1510593, 101.6607215 3.1507852, 101.6608728 3.1507132, 101.6610394 3.1506159, 101.66118 3.1505137, 101.6613354 3.1503738, 101.661563 3.150188)",8_kl,18078.78787878788,JALAN BATAI
"LINESTRING (101.6737053 3.2067928, 101.6733287 3.2071616, 101.6729923 3.2075521, 101.6726699 3.208073, 101.6725579 3.2082683)",1_kl,4787.234042553191,JALAN KAMPUNG BATU
"LINESTRING (101.7285173 3.0764595, 101.7285508 3.0764823, 101.7294884 3.0766743, 101.7295193 3.0766806, 101.7301563 3.076811, 101.7302041 3.0767975)",-1_kl,7427.536231884058,JALAN 34/142
"LINESTRING (101.7407657 3.2067769, 101.7408467 3.2068284, 101.7414885 3.2072371, 101.7416908 3.2073695, 101.7418863 3.2074912, 101.7420517 3.2076289, 101.7422185 3.2077958, 101.7422356 3.2078129)",6_kl,4020.618556701031,JALAN 2/27A
"LINESTRING (101.7365502 3.0650212, 101.7363412 3.0644265, 101.7361125 3.0638805, 101.7360768 3.0637994, 101.736055 3.0636615, 101.7360457 3.0635071, 101.7360475 3.0632777, 101.7360622 3.0630618, 101.7361404 3.0627887, 101.7363408 3.0624429, 101.7365136 3.0621856, 101.73671 3.0619893, 101.7368322 3.0619159, 101.7369604 3.061839, 101.7372393 3.0617425)",-1_kl,4371.25748502994,PERSIARAN ALAM DAMAI
"LINESTRING (101.7345784 3.2069779, 101.734895 3.2066688, 101.7351292 3.2064401, 101.7356766 3.2059055, 101.7363273 3.2052365, 101.7368479 3.2047266, 101.7369209 3.204659)",6_kl,3863.6363636363635,JALAN 4/27A
"LINESTRING (101.6493518 3.1880468, 101.6499762 3.188905)",2_kl,4054.054054054054,JALAN 30/38A
"LINESTRING (101.7202147 3.150952, 101.7202959 3.1509097, 101.7211074 3.1504872, 101.7212097 3.1504339)",1_kl,8146.551724137931,JALAN KIA PENG
"LINESTRING (101.6704634 3.1078129, 101.6698834 3.1080007, 101.669755 3.1080424, 101.668908 3.1082898, 101.6686331 3.1083577)",7_kl,6015.037593984963,JALAN PANTAI PERMAI
"LINESTRING (101.6562247 3.1798524, 101.6566092 3.1800266, 101.6567812 3.1800997, 101.6568623 3.1801256, 101.6569461 3.1801365, 101.6570834 3.1801395, 101.6571694 3.1801409, 101.6579077 3.1801505, 101.6580207 3.180152, 101.6582363 3.1801548, 101.6583336 3.1801548, 101.6584959 3.1801582, 101.6589319 3.1801638, 101.6590522 3.1801674, 101.6590936 3.1801687, 101.6591233 3.1801751, 101.659196 3.1801906, 101.6592794 3.1802083, 101.6594351 3.1802584, 101.6595498 3.1803109, 101.6596041 3.1803358, 101.6598767 3.1804606, 101.6602577 3.1806818, 101.6602781 3.1806959, 101.6605818 3.1809585, 101.6607481 3.1811848, 101.6608983 3.1814259, 101.6609838 3.1817266, 101.6610043 3.1821864, 101.6610157 3.1830143, 101.6610182 3.1831984)",2_kl,4800.0,JALAN DUTAMAS RAYA
"LINESTRING (101.7317625 3.0816478, 101.7317644 3.0810758, 101.7317561 3.080741, 101.7317348 3.0805771, 101.7316941 3.0804593, 101.7316361 3.0803605)",-1_kl,5232.558139534884,JALAN PUNCAK GADING
"LINESTRING (101.7042628 3.1468705, 101.7046637 3.147002, 101.7050952 3.1471857, 101.7053872 3.1471669, 101.705522 3.147121, 101.7056036 3.1470002, 101.7056414 3.1467745, 101.7056391 3.1463684, 101.7056398 3.1462239, 101.7056063 3.1459535, 101.7056251 3.1458892, 101.7057356 3.1458149, 101.7059254 3.1456864)",1_kl,4227.272727272727,PERSIARAN RAJA CHULAN
"LINESTRING (101.6468419 3.1842523, 101.6483399 3.1832779)",2_kl,4069.767441860465,JALAN 6/38A
"LINESTRING (101.6525228 3.1826538, 101.6527043 3.18292, 101.6527663 3.1830111, 101.6529504 3.1832811, 101.6531137 3.1835206, 101.6540921 3.1849559, 101.6541962 3.1851085)",2_kl,6860.46511627907,JALAN 3/61
"LINESTRING (101.6966579 3.1889855, 101.6968929 3.1888973, 101.6974058 3.1886796, 101.6982008 3.1883212, 101.6987478 3.1880737, 101.698928 3.1879771, 101.6990279 3.1879208, 101.6991225 3.1878378, 101.6991956 3.1877454, 101.6992436 3.1876654, 101.6993125 3.1874998)",1_kl,4774.774774774774,JALAN 1/48A
"LINESTRING (101.6855615 3.1699549, 101.6849817 3.1703835, 101.6848341 3.1705213, 101.6846956 3.1706752, 101.6845426 3.1708715, 101.6844115 3.1710601, 101.6843679 3.1711336, 101.6842623 3.1713523, 101.6841718 3.1715564, 101.6837979 3.1724704, 101.6836503 3.1727432, 101.6834809 3.1729854, 101.6833949 3.1730894, 101.6832736 3.1732363, 101.6824298 3.1741602, 101.6819486 3.1746512, 101.6812672 3.1753023)",1_kl,5740.740740740741,JALAN KUCHING
"LINESTRING (101.7071831 3.0714283, 101.708223 3.0713347, 101.7080426 3.0701513, 101.7070285 3.0702355, 101.7071831 3.0714283)",0_kl,7563.218390804598,JALAN TERMINAL SELATAN
"LINESTRING (101.6784458 3.1264598, 101.6782747 3.1259981, 101.6781373 3.1256171, 101.6779723 3.1252149, 101.6778096 3.12487, 101.6776122 3.1245076, 101.6774834 3.1243081, 101.6772923 3.1240414, 101.6768986 3.1236085, 101.6764987 3.1232075, 101.6754962 3.1222025, 101.6754133 3.1221168, 101.6751573 3.1218522, 101.6749017 3.1215694, 101.6737445 3.1202886, 101.6734118 3.1199061)",1_kl,5142.857142857143,JALAN BANGSAR
"LINESTRING (101.6933453 3.0854068, 101.6932671 3.0854852, 101.6931144 3.0857938, 101.693082 3.085859, 101.6930002 3.0860237, 101.6929676 3.0860892, 101.6929478 3.086129, 101.6927363 3.0865546, 101.6925198 3.0869596, 101.6920668 3.087831, 101.6920488 3.0878899, 101.6920406 3.0879595, 101.6920476 3.0884073, 101.6920495 3.0885287, 101.6920081 3.0889632, 101.6919576 3.0891648, 101.6917966 3.0894385, 101.691519 3.089812, 101.6912294 3.0901584, 101.6911918 3.0901903, 101.6911273 3.0902174, 101.6910516 3.0902302, 101.6907017 3.0902192, 101.6899169 3.0901946, 101.6897684 3.09019)",5_kl,4000.0,JALAN KUCHAI MAJU 13
"LINESTRING (101.6655017 3.1391439, 101.6654313 3.1390643, 101.6653276 3.1389582, 101.6651927 3.1388041, 101.6649261 3.1385761, 101.6648041 3.1384732, 101.6647252 3.1384155, 101.6646486 3.1383512, 101.6644753 3.1381969, 101.6641456 3.137927, 101.6639625 3.137697, 101.6638125 3.1374772, 101.6635771 3.1371284)",8_kl,6289.308176100629,JALAN KAPAS
"LINESTRING (101.7157482 3.141961, 101.7159263 3.1415228, 101.7159697 3.1413679, 101.7159878 3.1412141, 101.7159765 3.1410467, 101.7159309 3.1408679, 101.7158774 3.1407053, 101.7157803 3.1405025, 101.7157088 3.1403757)",1_kl,5308.641975308642,JALAN BARAT
"LINESTRING (101.7370591 3.1174957, 101.7372788 3.1176385, 101.7373914 3.1177626, 101.737587 3.1179884, 101.7380993 3.11857, 101.738177 3.1186582, 101.738548 3.1191516, 101.7390798 3.1198175, 101.7392348 3.1200013, 101.7396542 3.1205123)",9_kl,3900.0,JALAN 11/91
"LINESTRING (101.7153725 3.0961433, 101.7155141 3.0960393, 101.7156422 3.0959536, 101.715837 3.0958341, 101.7159279 3.0957534, 101.7160083 3.0956617, 101.7160506 3.0955733, 101.7160844 3.0954783, 101.7161374 3.0952873)",9_kl,4419.642857142857,JALAN TASIK PERMAISURI 3
